th,kd_prd,kd_fk,kd_ptn,dt ,JP,pg 
2013,3811014,NULL,381,41,2570,52.5
2014,3811014,NULL,381,63,2921,53.5
2015,3811014,NULL,381,63,2608,55.5
2016,3811014,NULL,381,75,2883,55.5
2017,3811014,NULL,381,88,3465,53
2013,3811022,NULL,381,26,1150,42
2014,3811022,NULL,381,53,1466,43
2015,3811022,NULL,381,50,1355,42.5
2016,3811022,NULL,381,50,1555,43.4
2017,3811022,NULL,381,58,1777,44.7
2013,3811037,NULL,381,38,1574,36
2014,3811037,NULL,381,75,1361,35
2015,3811037,NULL,381,72,1393,35.3
2016,3811037,NULL,381,74,1519,34
2017,3811037,NULL,381,84,1890,36
2013,3811045,NULL,381,41,1053,41
2014,3811045,NULL,381,83,1215,42
2015,3811045,NULL,381,87,1289,42.2
2016,3811045,NULL,381,90,883,40
2017,3811045,NULL,381,95,1338,41.5
2013,3811053,NULL,381,18,384,39
2014,3811053,NULL,381,36,688,40
2015,3811053,NULL,381,36,495,39.2
2016,3811053,NULL,381,36,600,41
2017,3811053,NULL,381,42,557,38.8
2013,3811061,NULL,381,15,524,39
2014,3811061,NULL,381,30,597,40
2015,3811061,NULL,381,30,550,41
2016,3811061,NULL,381,30,646,41.3
2017,3811061,NULL,381,35,586,39.3
2013,3811076,NULL,381,15,276,38
2014,3811076,NULL,381,30,380,39.5
2015,3811076,NULL,381,30,313,41
2016,3811076,NULL,381,30,226,39
2017,3811076,NULL,381,35,284,38.5
2013,3811084,NULL,381,15,407,43
2014,3811084,NULL,381,30,489,43.2
2015,3811084,NULL,381,30,430,44
2016,3811084,NULL,381,32,431,43
2017,3811084,NULL,381,35,400,42.5
2013,3811092,NULL,381,36,1874,43
2014,3811092,NULL,381,72,1964,42.19
2015,3811092,NULL,381,72,1644,42.19
2016,3811092,NULL,381,72,1842,42.19
2017,3811092,NULL,381,84,2072,30
2013,3811103,NULL,381,21,892,31
2014,3811103,NULL,381,42,609,32
2015,3811103,NULL,381,45,686,32.4
2016,3811103,NULL,381,47,753,33.5
2017,3811103,NULL,381,53,916,34
2013,3811111,NULL,381,38,1089,37
2014,3811111,NULL,381,81,1 .031,37.4
2015,3811111,NULL,381,56,786,37.4
2016,3811111,NULL,381,56,915,38.5
2017,3811111,NULL,381,72,892,47.5
2013,3811126,NULL,381,8,687,32.4
2014,3811126,NULL,381,15,728,32
2015,3811126,NULL,381,15,669,32
2016,3811126,NULL,381,15,542,32
2017,3811126,NULL,381,17,567,30.4
2013,3811134,NULL,381,9,485,32
2014,3811134,NULL,381,18,756,31.75
2015,3811134,NULL,381,18,710,31.75
2016,3811134,NULL,381,20,722,31.75
2017,3811134,NULL,381,21,961,35
2013,3811142,NULL,381,9,498,36.2
2014,3811142,NULL,381,18,833,37.2
2015,3811142,NULL,381,18,598,37
2016,3811142,NULL,381,20,709,38
2017,3811142,NULL,381,21,792,39
2013,3811157,NULL,381,9,609,42.8
2014,3811157,NULL,381,18,974,43
2015,3811157,NULL,381,18,666,44.5
2016,3811157,NULL,381,18,763,45
2017,3811157,NULL,381,21,846,45.6
2013,3811165,NULL,381,9,270,37.3
2014,3811165,NULL,381,18,570,37
2015,3811165,NULL,381,18,441,37.4
2016,3811165,NULL,381,18,536,38.2
2017,3811165,NULL,381,21,638,39
2013,3331013,NULL,333,50,4069,50.00
2014,3331013,NULL,333,75,4070,51.00
2015,3331013,NULL,333,125,4030,52.00
2016,3331013,NULL,333,125,8625,52.70
2017,3331013,NULL,333,150,5979,53.5
2013,3331021,NULL,333,40,854,31.5
2014,3331021,NULL,333,30,837,32
2015,3331021,NULL,333,50,814,32.5
2016,3331021,NULL,333,60,1052,33.5
2017,3331021,NULL,333,72,1014,31.5
2013,3331036,NULL,333,40,1144,33
2014,3331036,NULL,333,30,942,32.5
2015,3331036,NULL,333,60,959,32
2016,3331036,NULL,333,68,1219,33.5
2017,3331036,NULL,333,66,1110,32.3
2013,3331044,NULL,333,32,687,30.4
2014,3331044,NULL,333,24,785,31
2015,3331044,NULL,333,50,782,32
2016,3331044,NULL,333,53,797,32.4
2017,3331044,NULL,333,48,655,31.2
2013,3331052,NULL,333,48,926,30.4
2014,3331052,NULL,333,30,919,31
2015,3331052,NULL,333,60,1057,31.3
2016,3331052,NULL,333,65,1222,32.2
2017,3331052,NULL,333,72,1338,33.4
2013,3331067,NULL,333,32,817,38
2014,3331067,NULL,333,24,895,38.5
2015,3331067,NULL,333,45,920,39.6
2016,3331067,NULL,333,50,1469,40.5
2017,3331067,NULL,333,54,1159,39
2013,3331075,NULL,333,32,817,35
2014,3331075,NULL,333,24,895,37
2015,3331075,NULL,333,45,920,38.5
2016,3331075,NULL,333,50,1469,39
2017,3331075,NULL,333,54,1159,34
2013,3331083,NULL,333,66,1964,35.7
2014,3331083,NULL,333,36,2279,37
2015,3331083,NULL,333,66,2164,36.2
2016,3331083,NULL,333,68,1860,35.2
2017,3331083,NULL,333,78,2364,36.3
2013,3331091,NULL,333,30,1935,41.2
2014,3331091,NULL,333,45,1842,40
2015,3331091,NULL,333,75,2004,42
2016,3331091,NULL,333,89,2580,42.4
2017,3331091,NULL,333,90,3011,43
2013,3331117,NULL,333,92,1135,27
2014,3331117,NULL,333,63,816,28.2
2015,3331117,NULL,333,130,1475,29
2016,3331117,NULL,333,125,1323,30
2017,3331117,NULL,333,120,1159,29.3
2013,3331125,NULL,333,33,1536,37.2
