th ;kd_prd;kd_fk;kd_ptn ;dt ;jp;pg ;;;
2013;3211015;NULL;321;54;3057;54;;;
2014;3211015;NULL;321;54;2947;55,5;;;
2015;3211015;NULL;321;72;2829;55;;;
2016;3211015;NULL;321;126;2940;56,5;;;
2017;3211015;NULL;321;126;4041;58;;;
2013;3211023;NULL;321;39;1162;39;;;
2014;3211023;NULL;321;39;1209;41;;;
2015;3211023;NULL;321;52;1100;41,5;;;
2016;3211023;NULL;321;91;1399;41,5;;;
2017;3211023;NULL;321;91;2040;42;;;
2013;3211031;NULL;321;18;708;36;;;
2014;3211031;NULL;321;30;830;37;;;
2015;3211031;NULL;321;40;698;35,5;;;
2016;3211031;NULL;321;70;929;37;;;
2017;3211031;NULL;321;56;1083;33,5;;;
2013;3211046;NULL;321;21;669;36;;;
2014;3211046;NULL;321;27;503;36,5;;;
2015;3211046;NULL;321;40;484;36,5;;;
2016;3211046;NULL;321;70;682;36,5;;;
2017;3211046;NULL;321;76;843;37;;;
2013;3211054;NULL;321;27;654;31;;;
2014;3211054;NULL;321;30;639;31,5;;;
2015;3211054;NULL;321;40;500;32;;;
2016;3211054;NULL;321;70;594;32;;;
2017;3211054;NULL;321;74;761;32,5;;;
2013;3211062;NULL;321;24;822;33;;;
2014;3211062;NULL;321;30;822;32,5;;;
2015;3211062;NULL;321;40;727;34;;;
2016;3211062;NULL;321;70;801;34;;;
2017;3211062;NULL;321;75;1080;35;;;
2013;3211077;NULL;321;30;1348;46;;;
2014;3211077;NULL;321;30;1165;47;;;
2015;3211077;NULL;321;48;1189;47,5;;;
2016;3211077;NULL;321;84;1193;48,5;;;
2017;3211077;NULL;321;91;1768;48;;;
2013;3211085;NULL;321;24;772;29;;;
2014;3211085;NULL;321;30;778;29,5;;;
2015;3211085;NULL;321;40;796;30,5;;;
2016;3211085;NULL;321;70;690;30;;;
2017;3211085;NULL;321;76;808;31;;;
2013;3211093;NULL;321;24;1038;40;;;
2014;3211093;NULL;321;24;1198;42;;;
2015;3211093;NULL;321;30;1127;42;;;
2016;3211093;NULL;321;52;1481;42;;;
2017;3211093;NULL;321;59;1855;38,5;;;
2013;3211104;NULL;321;24;973;42;;;
2014;3211104;NULL;321;24;1152;43;;;
2015;3211104;NULL;321;32;1065;43,5;;;
2016;3211104;NULL;321;56;1169;43;;;
2017;3211104;NULL;321;60;1376;44;;;
2013;3211112;NULL;321;24;661;48;;;
2014;3211112;NULL;321;24;881;49,5;;;
2015;3211112;NULL;321;32;822;50;;;
2016;3211112;NULL;321;56;892;49,5;;;
2017;3211112;NULL;321;58;1073;49;;;
2013;3211127;NULL;321;24;661;41;;;
